# The data here are fictitious.
# To open this file with statist, use the command 
# ../src/statist city.csv --labels city.labels
age sex kids happy trust god degree income
32 1 2 2 M M 4 M
27 0 3 0 1 1 3 12
19 1 3 2 3 1 3 3888
70 0 3 1 3 1 4 28224
42 0 4 0 1 1 1 256
44 1 2 2 3 1 3 20667
62 0 3 0 3 1 0 0
28 1 1 0 1 1 1 144
97 1 3 0 3 1 2 6728
23 1 3 2 1 1 3 48
40 1 1 0 3 1 1 121
40 0 2 2 3 1 4 14400
76 1 2 2 3 1 2 10368
56 0 3 0 2 1 3 4563
66 1 1 2 3 1 4 1024
19 0 2 2 3 1 3 2523
57 0 1 0 3 1 3 9408
49 1 0 2 2 1 4 13924
33 1 3 1 3 1 3 25205
70 0 4 0 1 1 3 4107
41 0 2 0 3 1 3 3
23 1 1 2 2 1 4 5184
32 0 1 2 2 1 1 7744
114 0 1 2 3 1 4 2500
54 1 2 0 3 0 4 10816
87 0 1 2 2 1 4 14045
20 0 2 2 M 1 4 34596
70 1 3 0 3 1 3 1875
22 1 2 1 2 1 4 20736
52 1 3 2 2 1 2 200
54 0 3 2 3 1 4 40000
84 1 2 1 3 1 4 14400
58 0 1 2 3 0 4 2916
44 1 3 2 2 0 3 17328
43 0 2 0 3 0 4 1764
31 1 2 0 1 1 2 5832
65 0 0 0 2 1 3 3888
45 1 2 3 3 0 2 19602
64 0 2 0 3 1 2 7688
66 0 3 0 1 1 4 6084
100 1 3 0 3 1 3 1452
24 0 1 0 0 1 2 12168
28 0 1 2 3 1 3 14283
45 0 1 0 1 1 3 13068
23 0 2 0 2 1 2 12800
18 0 3 3 2 1 4 37636
38 1 2 0 2 1 4 16
61 1 1 2 1 1 4 M
63 0 3 0 2 1 3 8000
45 1 4 2 3 1 2 3200
37 1 1 2 1 0 0 0
64 1 2 0 3 1 2 10658
71 1 1 2 2 1 4 19044
77 1 4 0 2 1 4 2704
35 0 2 0 0 1 3 13467
73 1 1 0 3 1 3 8112
38 1 2 2 3 1 M M
19 0 4 2 2 1 4 6724
45 1 2 0 2 1 3 11907
48 1 2 0 3 1 2 9522
60 0 1 0 2 1 4 4624
33 1 4 0 3 0 3 507
21 1 2 0 2 1 4 7056
62 1 3 0 1 1 2 722
27 0 1 2 3 1 4 25600
18 0 1 2 3 1 1 6889
53 1 3 0 3 1 0 0
41 1 2 2 3 1 4 30976
112 1 1 2 2 1 4 25600
84 0 3 1 2 1 4 17956
54 1 2 0 2 1 4 6084
44 0 2 2 1 1 3 867
