#%zeroOne oneZero positive negPosi 1_100 0_1 real
0 1 778 415 24 0.335 3.15729e+09
0 0 691 -441 96 0.926 -7.93629e+10
0 0 568 -71 27 0.53 -6.96906e+11
1 1 23 -442 96 0.167 -2.63624e+09
0 0 422 419 78 0.537 -1.55125e+10
0 1 92 480 63 0.873 -5.38034e+11
0 1 85 -173 84 0.505 3.84892e+11
0 1 583 45 12 0.367 3.59216e+10
0 1 277 -322 15 0.584 -1.08757e+11
1 0 677 -132 65 0.012 2.12071e+10
1 1 435 -122 72 0.601 4.01139e+10
1 1 302 -220 9 0.441 -1.09126e+11
0 1 32 -383 88 0.771 1.50697e+11
1 1 498 -147 88 0.965 -1.19603e+11
1 1 733 329 22 0.019 5.22737e+08
0 0 797 223 87 0.245 -4.88195e+09
0 0 765 -272 56 0.35 0
0 1 988 356 7 0.491 -3.76492e+10
0 1 438 -272 15 0.407 2.85049e+11
0 0 236 293 60 0.428 1.30507e+11
1 0 444 263 18 0.538 -3.3677e+11
0 1 370 417 93 0.996 -5.38525e+09
0 0 773 225 47 0.59 1.7815e+10
1 0 543 -36 53 0.507 4.1374e+10
1 1 300 -157 68 0.568 -5.27948e+09
1 1 662 230 53 0.305 -7.11428e+10
1 0 709 -84 61 0.258 1.75347e+11
1 0 453 399 61 0.55 -3.33424e+11
1 1 934 394 71 0.163 -2.03569e+11
1 1 814 168 27 0.095 2.9963e+09
0 1 377 42 52 0.107 2.85983e+10
1 0 349 -328 13 0.009 2.03525e+11
0 0 714 -128 14 0.255 -1.41033e+11
1 1 941 167 30 0.228 -8.70238e+10
1 0 423 -231 81 0.081 3.58361e+11
1 1 626 -115 66 0.299 1.45409e+11
0 0 525 90 90 0.581 2.5758e+11
1 0 380 269 34 0.776 3.53845e+11
1 1 994 -295 42 0.567 -9.36299e+10
0 0 945 -298 8 0.506 -2.21742e+11
1 0 873 408 34 0.498 -9.49174e+09
0 0 134 148 4 0.754 2.40491e+11
0 0 789 297 93 0.99 2.39701e+11
0 1 687 -375 9 0.996 -5.93676e+11
0 0 415 421 37 0.304 -6.14377e+09
1 1 795 197 35 0.043 -1.85751e+10
0 1 648 38 26 0.151 2.14804e+11
0 0 505 129 95 0.964 3.57905e+10
0 1 239 471 63 0.289 -2.63294e+11
1 0 830 -110 13 0.34 -3.83977e+10
0 0 361 -383 82 0.761 -9.72998e+09
1 0 678 -266 43 0.626 -3.53062e+10
0 0 313 -114 5 0.346 5.78709e+10
1 1 947 -210 30 0.97 1.98993e+10
1 1 313 386 7 0.355 2.6529e+11
1 1 190 -226 66 0.641 -8.74508e+10
0 1 771 -216 75 0.417 2.64025e+11
0 0 218 18 81 0.783 -1.55211e+10
0 0 608 -22 13 0.314 2.22166e+11
1 0 26 -112 67 0.233 4.65625e+10
0 1 418 339 69 0.363 6.57125e+10
0 0 683 -110 63 0.791 -1.36359e+10
1 0 948 451 82 0.021 -1.0553e+11
0 0 82 16 92 0.002 -8.40398e+10
0 1 219 -479 13 0.862 -1.18241e+11
1 1 177 -17 27 0.759 -5.47031e+10
0 1 237 60 82 0.105 4.75108e+11
1 1 292 -125 48 0.614 -2.43874e+11
1 1 823 482 90 0.03 -1.163e+10
0 0 544 -426 66 0.713 -4.43079e+10
0 1 711 232 64 0.017 1.20314e+11
0 1 574 -172 94 0.291 -7.24014e+11
1 0 91 358 19 0.904 -7.72226e+10
1 0 605 351 66 0.25 3.07997e+09
0 1 950 -380 11 0.226 7.8404e+10
1 1 37 455 82 0.518 -4.56771e+10
0 0 271 484 5 0.427 -1.6417e+11
0 1 64 -153 52 0.03 2.06207e+11
0 1 83 -65 55 0.204 -2.85757e+10
1 0 160 -238 10 0.683 -2.00911e+10
0 0 155 -165 10 0.457 6.81398e+10
0 0 702 203 20 0.933 -7.28919e+11
1 1 85 -192 16 0.698 9.77483e+10
0 0 190 59 84 0.01 -1.89864e+09
0 0 110 -447 96 0.114 3.07951e+11
0 0 788 -269 42 0.122 2.2329e+11
1 0 351 -369 34 0.857 2.24576e+11
1 0 983 -319 1 0.415 4.69833e+10
1 1 298 -468 85 0.181 -2.3093e+10
1 1 963 -203 52 0.776 7.78857e+09
1 0 22 -234 71 0.86 4.2337e+10
0 1 991 83 16 0.476 -1.33888e+10
1 1 526 -10 90 0.36 1.00539e+10
1 1 311 455 23 0.225 6.95687e+10
0 1 784 -150 34 0.097 -4.04824e+11
1 0 911 28 1 0.398 -1.492e+11
1 1 200 52 68 0.087 2.84671e+11
1 0 642 235 97 0.298 1.12141e+11
0 0 955 28 69 0.593 -4.1753e+10
1 0 1 -175 81 0.283 9.99819e+10
1 0 440 -166 88 0.159 3.15634e+11
1 1 542 216 43 0.85 1.47381e+10
0 0 16 6 25 0.364 3.17945e+11
0 1 860 328 19 0.28 1.29311e+11
1 0 666 11 6 0.517 2.48683e+11
0 1 639 167 28 0.489 1.63495e+10
1 0 413 38 15 0.636 1.42283e+11
1 1 466 -186 31 0.886 -8.4217e+10
0 1 394 290 30 0.109 -1.48922e+11
1 0 878 -187 60 0.198 -9.03487e+10
0 0 961 433 11 0.286 -3.83319e+09
0 0 762 490 56 0.05 5.47144e+10
0 1 660 419 96 0.844 -1.75496e+11
0 0 134 -157 58 0.956 -3.07523e+10
1 1 193 229 46 0.868 9.67666e+10
